date,tpu
2008-01-01,100.0
2008-02-01,108.77313759805776
2008-03-01,126.8682153567488
2008-04-01,138.0548201641048
2008-05-01,124.44906494918355
2008-06-01,129.59077814437924
2008-07-01,125.69082086001876
2008-08-01,123.50138142892273
2008-09-01,114.01757687670974
2008-10-01,112.01985121759951
2008-11-01,124.36852378545537
2008-12-01,110.39951223141475
2009-01-01,110.20474945468854
2009-02-01,133.24771394276814
2009-03-01,124.79788496456565
2009-04-01,117.85946388211578
2009-05-01,129.35044165437375
2009-06-01,129.24867726710136
2009-07-01,126.50421185161615
2009-08-01,149.7341396358307
2009-09-01,127.57231397893706
2009-10-01,124.37350683336521
2009-11-01,116.16252261307326
2009-12-01,91.55098998693401
2010-01-01,78.87568312712055
2010-02-01,79.28262387581877
2010-03-01,57.25163974712824
2010-04-01,57.19947401712726
2010-05-01,55.0892589628385
2010-06-01,71.92823355832228
2010-07-01,77.88443391890681
2010-08-01,78.25043881551453
2010-09-01,78.15182545503558
2010-10-01,72.4462353501792
2010-11-01,66.42781880403929
2010-12-01,68.62735517483478
2011-01-01,55.336993179886385
2011-02-01,35.737459420359556
2011-03-01,33.083322679841814
2011-04-01,42.74172426662988
2011-05-01,33.092731044881035
2011-06-01,20.0
2011-07-01,20.0
2011-08-01,20.0
2011-09-01,20.0
2011-10-01,20.0
2011-11-01,21.284554514646363
2011-12-01,42.443863937592894
2012-01-01,39.87114457095227
2012-02-01,40.69807958851329
2012-03-01,70.76742518776723
2012-04-01,82.93862462114362
2012-05-01,66.68206667743898
2012-06-01,46.825174423168434
2012-07-01,81.50273560283355
2012-08-01,55.94787584179453
2012-09-01,68.4892149449863
2012-10-01,59.45676401592347
2012-11-01,65.03569965434262
2012-12-01,82.19685598728142
2013-01-01,54.121282844877854
2013-02-01,53.87190350007379
2013-03-01,76.28111022850183
2013-04-01,91.65482720230659
2013-05-01,122.97194886567094
2013-06-01,109.11027449471689
2013-07-01,102.76515256582692
2013-08-01,99.90476810784968
2013-09-01,103.9957736651724
2013-10-01,95.26214858991543
2013-11-01,87.81961037997374
2013-12-01,81.92246718464209
2014-01-01,84.90915027023459
2014-02-01,89.59981840586552
2014-03-01,81.84673740650302
2014-04-01,84.47935125400414
2014-05-01,111.83864544509943
2014-06-01,92.06220775237068
2014-07-01,108.57826274029476
2014-08-01,111.4347132256653
2014-09-01,104.63340003966016
2014-10-01,102.32859528026661
2014-11-01,86.69480765008052
2014-12-01,85.00390122768566
2015-01-01,55.53553059112936
2015-02-01,57.20627669142541
2015-03-01,57.69176302588654
2015-04-01,80.59887811818672
2015-05-01,76.29111914943475
2015-06-01,66.22343697861913
2015-07-01,57.82717509039088
2015-08-01,41.09286710209878
2015-09-01,62.23123316879942
2015-10-01,65.82029346609107
2015-11-01,76.5087952911673
2015-12-01,95.2669489023101
2016-01-01,86.19336822646672
2016-02-01,82.20041925251138
2016-03-01,87.85933566299835
2016-04-01,91.09324547973065
2016-05-01,77.13763672110072
2016-06-01,74.99357978188215
2016-07-01,67.76529570693592
2016-08-01,73.54412566094555
2016-09-01,45.08374377355011
2016-10-01,63.57208615921873
2016-11-01,49.8518363430608
2016-12-01,42.97093680970811
2017-01-01,38.69114602020429
2017-02-01,38.20254503385095
2017-03-01,34.75400329386681
2017-04-01,40.045485400002654
2017-05-01,37.24412750244831
2017-06-01,70.95677816821971
2017-07-01,68.75068256421683
2017-08-01,74.32044963638315
2017-09-01,45.79870153606299
2017-10-01,47.34872921025466
2017-11-01,37.15858134116183
2017-12-01,69.50663089025159
2018-01-01,73.63981246787115
2018-02-01,87.21855195458558
2018-03-01,207.01100663787054
2018-04-01,237.27231651249463
2018-05-01,206.3788621464143
2018-06-01,212.18312066983543
2018-07-01,218.39174160233227
2018-08-01,234.19718806004227
2018-09-01,226.02074140641554
2018-10-01,219.7469909054431
2018-11-01,219.83889431949467
2018-12-01,229.05513412937174
2019-01-01,239.0787337345422
2019-02-01,210.03439539445844
2019-03-01,202.08778857862717
2019-04-01,203.4211944637853
2019-05-01,197.37414777916305
2019-06-01,217.3305847178148
2019-07-01,225.16015978471404
2019-08-01,216.5701098812787
2019-09-01,209.47297968355934
2019-10-01,220.84233456416592
2019-11-01,241.37717843665357
2019-12-01,240.28817364012733
2020-01-01,125.77348117934005
2020-02-01,136.14411948847683
2020-03-01,185.39545593804326
2020-04-01,173.6579500905478
2020-05-01,190.07299506919065
2020-06-01,178.1711484275319
2020-07-01,110.91816738533524
2020-08-01,131.1039168116996
2020-09-01,157.46833089503482
2020-10-01,163.89391170259236
2020-11-01,182.19420144886283
2020-12-01,194.44064601845295
2021-01-01,171.56614220431092
2021-02-01,186.38532313907712
2021-03-01,178.80002260431516
2021-04-01,167.2628541956362
2021-05-01,140.4586735796635
2021-06-01,122.94110799765582
2021-07-01,124.13749319745448
2021-08-01,148.5635127004959
2021-09-01,169.25236673969172
2021-10-01,172.24179478488563
2021-11-01,161.7711482460988
2021-12-01,186.2824572251808
2022-01-01,179.63261760645767
2022-02-01,160.87083924698914
2022-03-01,182.87615631625897
2022-04-01,168.36593111965695
2022-05-01,172.71398319215146
2022-06-01,158.81498780882237
2022-07-01,155.59626052814548
2022-08-01,163.303269956378
2022-09-01,145.75401097810405
2022-10-01,145.5178043200059
2022-11-01,161.70672282854642
2022-12-01,196.41927412054713
