date,gtrends_export,gtrends_import
2008-01-01,49.15199052423386,50.23794824945167
2008-02-01,50.45789688218284,50.76550222389761
2008-03-01,51.38210484840087,51.2200337143763
2008-04-01,52.02251664963397,50.9801894504911
2008-05-01,50.967779666706555,52.72266268860976
2008-06-01,52.765540381832,52.86639732254008
2008-07-01,51.75275363134424,51.39781903724801
2008-08-01,52.57637695568635,51.15392558967162
2008-09-01,52.281726602335226,50.642843658151605
2008-10-01,51.689256030823415,51.92401168984867
2008-11-01,50.295528972123705,52.298715833233096
2008-12-01,51.399708643848264,51.59110157144549
2009-01-01,50.467368357948665,51.5677292176058
2009-02-01,49.5242119211114,51.77741612349456
2009-03-01,49.960818152811065,50.3594307066458
2009-04-01,50.755776422846914,51.10096831064589
2009-05-01,51.47530957559516,50.16704666175207
2009-06-01,51.56297183216538,50.53395868868024
2009-07-01,50.240223425907445,50.31144222820412
2009-08-01,50.29201740473759,49.88021185270575
2009-09-01,48.45722214708224,49.49988160291647
2009-10-01,48.784718620271654,50.31010188177397
2009-11-01,49.26095585463938,49.28181485985616
2009-12-01,49.429384500254024,47.8734413195119
2010-01-01,48.56697316914561,47.51523591073375
2010-02-01,49.47441766762684,47.07673258936821
2010-03-01,49.89730704020374,45.18492754975617
2010-04-01,47.684878086767284,44.90111219092725
2010-05-01,46.03067234581965,43.9478362209995
2010-06-01,46.352047609625124,43.9713958312604
2010-07-01,45.889373255751536,44.94767211966262
2010-08-01,44.8086230504009,43.92830027655894
2010-09-01,44.494848910736515,44.268069406367026
2010-10-01,43.47699702387136,45.48686391977675
2010-11-01,43.97641972360314,45.22100717966736
2010-12-01,43.94647348253771,43.57048357249183
2011-01-01,43.99356358713567,43.78362616541992
2011-02-01,42.82270482546035,45.388559169208996
2011-03-01,40.91017753411079,46.57147246939155
2011-04-01,41.18171975393199,48.41982610692686
2011-05-01,41.50378505252745,48.04320194900593
2011-06-01,40.37278489308032,46.835017327548755
2011-07-01,40.530646033258726,47.09824222266991
2011-08-01,39.61024847731632,47.45882817793055
2011-09-01,38.86433859869623,47.672169654705016
2011-10-01,38.66012550905178,47.54555615687796
2011-11-01,40.62651033090378,46.909603995588114
2011-12-01,41.44985644292101,47.6854696726277
2012-01-01,40.39237246233443,47.62036741759593
2012-02-01,40.94342182818821,47.72766406307425
2012-03-01,41.21754507839479,46.67998250655167
2012-04-01,41.58484154267651,48.53700406341869
2012-05-01,41.78073087709217,48.85740471473798
2012-06-01,41.66720217080631,47.76227851721057
2012-07-01,39.578275109440725,46.375491104316694
2012-08-01,38.63881056132401,46.02154150769525
2012-09-01,38.91465794595746,45.73589944750624
2012-10-01,39.34226480332029,47.79514950444005
2012-11-01,39.75901113571089,48.02792553267728
2012-12-01,40.06076504933214,46.41567860462141
2013-01-01,38.1441012854075,46.48753233373964
2013-02-01,37.96402872330787,47.153867411102624
2013-03-01,39.23367285576691,47.48598299426491
2013-04-01,36.65799014317785,47.149478013182716
2013-05-01,37.215676356525584,47.64723336959799
2013-06-01,39.604697254408435,45.853144403887036
