date,bdi
2008-01-01,1500.0
2008-02-01,1539.7371322408985
2008-03-01,1527.9209826346266
2008-04-01,1579.2055670126242
2008-05-01,1699.5430497520263
2008-06-01,1677.0194618288708
2008-07-01,1654.925135498188
2008-08-01,1778.3185831643138
2008-09-01,1834.4253084164247
2008-10-01,1790.5132766817164
2008-11-01,1828.398327911641
2008-12-01,1785.085344256323
2009-01-01,1742.4103424298323
2009-02-01,1757.1615276489483
2009-03-01,1599.2130390509944
2009-04-01,1459.334564707983
2009-05-01,1415.1242056392534
2009-06-01,1335.7103561053539
2009-07-01,1363.9716459469741
2009-08-01,1293.9142586322846
2009-09-01,1184.8455916114478
2009-10-01,1308.0854268845546
2009-11-01,1293.6696997348254
2009-12-01,1302.9922318148977
2010-01-01,1192.755524513338
2010-02-01,1155.04255158557
2010-03-01,1170.4705502822335
2010-04-01,1084.6521236330868
2010-05-01,1122.599574751712
2010-06-01,1081.7190876379252
2010-07-01,1066.3309249893425
2010-08-01,1026.4341084361931
2010-09-01,1183.6141151366205
2010-10-01,1188.54566896999
2010-11-01,1109.8464269430883
2010-12-01,1183.0629377994246
2011-01-01,1091.4172499835538
2011-02-01,1115.8894098342466
2011-03-01,966.4139011370139
2011-04-01,870.2971531035362
2011-05-01,898.0104060640988
2011-06-01,968.5255347485138
2011-07-01,992.3330120834896
2011-08-01,992.7268222628442
2011-09-01,978.276716992707
2011-10-01,869.9077001404513
2011-11-01,824.2919171662061
2011-12-01,800.2792690632652
2012-01-01,898.1437410485764
2012-02-01,937.0684731341304
2012-03-01,806.7209597155633
2012-04-01,845.8199790325511
2012-05-01,827.4428169976275
2012-06-01,786.0676434501959
2012-07-01,848.5664613319116
2012-08-01,943.4236603662813
2012-09-01,1028.5010203486179
2012-10-01,970.322099104183
2012-11-01,955.6489891531064
2012-12-01,992.4927328714824
2013-01-01,1080.178981116713
2013-02-01,1049.8216414478723
2013-03-01,1043.5223121272575
2013-04-01,963.6885902763572
2013-05-01,878.1819771346528
2013-06-01,954.9985853606303
2013-07-01,1073.852814524444
2013-08-01,1076.188801322053
2013-09-01,1164.523845928296
2013-10-01,1199.828774859469
2013-11-01,1153.922447768729
2013-12-01,1189.4095697017963
2014-01-01,1318.3537131947396
2014-02-01,1318.9389095152435
2014-03-01,1447.5505626995744
2014-04-01,1238.967493681103
2014-05-01,1309.67931165118
2014-06-01,1320.2591701888612
2014-07-01,1299.7536579180035
2014-08-01,1310.8992005404016
2014-09-01,1155.4866025620624
2014-10-01,1144.4586060863824
2014-11-01,1179.7828982916808
2014-12-01,1304.09854680346
2015-01-01,1266.3590569523026
2015-02-01,1206.118746638754
2015-03-01,1171.5619269658548
2015-04-01,1251.0344197696695
2015-05-01,1282.0648545668205
2015-06-01,1243.8248060286876
2015-07-01,1289.7535293632109
2015-08-01,1301.514416253153
2015-09-01,1382.7772415869742
2015-10-01,1328.8402264866336
2015-11-01,1305.879290455566
2015-12-01,1278.1989316863378
2016-01-01,1165.331956133728
2016-02-01,1195.3802711323533
2016-03-01,1222.0524677552296
2016-04-01,1227.7425473992773
2016-05-01,1214.1484683286794
2016-06-01,1106.3499880664015
2016-07-01,1080.1777124719113
2016-08-01,1060.7371746128035
2016-09-01,1004.9009867574307
2016-10-01,1001.4050110757588
2016-11-01,1043.2023844104824
2016-12-01,1202.7764112035256
2017-01-01,1222.3898844172058
2017-02-01,1248.2685078711002
2017-03-01,1247.0957329602559
2017-04-01,1098.3992168100876
2017-05-01,1103.9085216547587
2017-06-01,1116.2526765386003
2017-07-01,1320.6032446831898
2017-08-01,1308.6229058517195
2017-09-01,1336.3828580272257
2017-10-01,1336.714642148289
2017-11-01,1246.322820937909
2017-12-01,1342.5685125012903
2018-01-01,1405.7143533787078
2018-02-01,1470.788336427956
2018-03-01,1398.5923616522457
2018-04-01,1512.742651655741
2018-05-01,1400.3524562508994
2018-06-01,1449.1943270861539
2018-07-01,1625.3960849363152
2018-08-01,1543.7706533120702
2018-09-01,1497.635192530919
2018-10-01,1505.652233079843
2018-11-01,1465.2667883220302
2018-12-01,1341.873644858621
2019-01-01,1350.3630835907895
2019-02-01,1268.2218879044763
2019-03-01,1310.5130664851058
2019-04-01,1240.5593794831846
2019-05-01,1369.483503674407
2019-06-01,1309.3030537176944
2019-07-01,1287.1613744006042
2019-08-01,1356.2866856765663
2019-09-01,1260.5480933339952
2019-10-01,1283.2944743289797
2019-11-01,1391.9832996593232
2019-12-01,1265.4369582008978
2020-01-01,1284.6643646776652
2020-02-01,1309.5463652886633
2020-03-01,1375.7108140903636
2020-04-01,1279.1162517524
2020-05-01,1177.6765139223626
2020-06-01,1225.5559854071894
2020-07-01,1254.5291955431076
2020-08-01,1279.2325688554586
2020-09-01,1311.1430068069628
2020-10-01,1260.3293119513512
2020-11-01,1283.463350797156
2020-12-01,1311.0233449959046
2021-01-01,1257.4657879988729
2021-02-01,1411.3358989184746
2021-03-01,1450.9271505119666
2021-04-01,1356.5552548760274
2021-05-01,1411.8049937240892
2021-06-01,1335.5061652251459
2021-07-01,1401.5983163852643
2021-08-01,1496.1555946945366
2021-09-01,1430.5740529272034
2021-10-01,1508.9632362611321
2021-11-01,1541.8154089270904
