date,ntl
2008-01-01,98.50955302010732
2008-02-01,99.99629096433269
2008-03-01,101.8172909912432
2008-04-01,104.84366417084486
2008-05-01,102.67943727905943
2008-06-01,103.52142946642162
2008-07-01,97.33786258047729
2008-08-01,100.0846618199841
2008-09-01,100.5498857414785
2008-10-01,97.15922832080366
2008-11-01,101.77059020005314
2008-12-01,98.00659566500879
2009-01-01,100.27214960658588
2009-02-01,99.68192047446175
2009-03-01,103.28140426068578
2009-04-01,102.3696556305759
2009-05-01,106.92721500819601
2009-06-01,103.68651824996246
2009-07-01,103.68868507440955
2009-08-01,102.71881988488053
2009-09-01,97.33098463911794
2009-10-01,96.46255740224179
2009-11-01,101.8342046143081
2009-12-01,99.24138914469316
2010-01-01,102.7924281027799
2010-02-01,103.08140991346033
2010-03-01,105.04092919329219
2010-04-01,104.61156189747362
2010-05-01,105.46425088125403
2010-06-01,102.87123604779588
2010-07-01,103.5439915023105
2010-08-01,99.74252102264299
2010-09-01,101.35922869965822
2010-10-01,97.81111332043449
2010-11-01,99.70356384720023
2010-12-01,100.24050422117007
2011-01-01,103.7332013518447
2011-02-01,104.01974718761348
2011-03-01,106.85229715928503
2011-04-01,106.65297388313421
2011-05-01,104.36682276215953
2011-06-01,103.76598992866829
2011-07-01,103.00192146416329
2011-08-01,101.2516880777698
2011-09-01,101.04487296773343
2011-10-01,101.53770845902227
2011-11-01,101.54926837677422
2011-12-01,104.30289045922633
2012-01-01,103.3218193896809
2012-02-01,108.14218034905454
2012-03-01,105.54600366754617
2012-04-01,109.516612361886
2012-05-01,107.85909902597275
2012-06-01,107.83293632453103
2012-07-01,106.17091967030576
2012-08-01,105.19523534565893
2012-09-01,99.86501187683507
2012-10-01,99.98796356722012
2012-11-01,101.3831708362331
2012-12-01,105.82025426578501
2013-01-01,109.59075240710658
2013-02-01,106.21209426331544
2013-03-01,106.57160339766804
2013-04-01,106.76922329216774
2013-05-01,107.58351760380424
2013-06-01,106.911191377914
2013-07-01,104.67408374141684
2013-08-01,102.76051357670185
2013-09-01,103.70010703335672
2013-10-01,103.6676354731048
2013-11-01,102.27492067947735
2013-12-01,103.80785692703112
2014-01-01,107.81037176564527
2014-02-01,110.43291297656555
2014-03-01,108.8096649487157
2014-04-01,110.22555742471158
2014-05-01,109.49816955174175
2014-06-01,106.19935533672636
2014-07-01,104.36094081320475
2014-08-01,104.37579555679189
2014-09-01,103.00518073903388
2014-10-01,104.96032847433956
2014-11-01,102.3959725685126
2014-12-01,105.56471664844345
2015-01-01,108.94850134399063
2015-02-01,108.97394303217143
2015-03-01,109.86402194443627
2015-04-01,110.07852168129268
2015-05-01,109.1540537032366
2015-06-01,107.94327929675299
2015-07-01,106.94689107116223
2015-08-01,105.51746768595648
2015-09-01,103.46194512765025
2015-10-01,106.7942572650894
2015-11-01,105.87082042531048
2015-12-01,107.91936165173306
2016-01-01,107.32718388600162
2016-02-01,107.4991126346438
2016-03-01,110.7425231174773
2016-04-01,112.06006055136405
2016-05-01,107.86742692587802
2016-06-01,107.76326680835275
2016-07-01,106.84861512950836
2016-08-01,108.09109549185644
2016-09-01,109.01757319763472
2016-10-01,105.21971079909885
2016-11-01,108.29457201714234
2016-12-01,108.92447249671638
2017-01-01,108.58909172048712
2017-02-01,112.8571178125317
2017-03-01,113.11943431868112
2017-04-01,112.40925343545412
2017-05-01,110.98937526000856
2017-06-01,109.91292424074886
2017-07-01,110.6600410419992
2017-08-01,108.97160394249046
2017-09-01,109.51465911034656
2017-10-01,107.50125709112176
2017-11-01,110.26112521035228
2017-12-01,108.01607508919452
2018-01-01,112.62890551848078
2018-02-01,115.70135216942339
2018-03-01,113.75769809773416
2018-04-01,112.9567092561654
2018-05-01,113.35566761618931
2018-06-01,111.3282348045027
2018-07-01,108.53098677143144
2018-08-01,106.41729434598902
2018-09-01,110.05292217928839
2018-10-01,106.00166702066976
2018-11-01,108.99743977168507
2018-12-01,111.24768389348077
2019-01-01,111.33591954546662
2019-02-01,113.3565145025642
2019-03-01,112.81411713213097
2019-04-01,114.68780134432298
2019-05-01,113.17210213111656
2019-06-01,113.30009578692456
2019-07-01,109.1560427974963
2019-08-01,109.61814604292887
2019-09-01,107.82382561034642
2019-10-01,109.63249632229838
2019-11-01,112.69292275717915
2019-12-01,110.5023702266614
2020-01-01,112.46115937060307
2020-02-01,115.57422985839187
2020-03-01,101.57628296777749
2020-04-01,100.6851081021676
2020-05-01,102.7605173195052
2020-06-01,100.7449819834424
2020-07-01,107.87142229402905
2020-08-01,104.95203405954055
2020-09-01,104.83002448929597
2020-10-01,103.80762316829565
2020-11-01,106.21783556327858
2020-12-01,107.57590735677014
2021-01-01,114.68473127319804
2021-02-01,116.48439214964228
2021-03-01,116.37333437838092
2021-04-01,114.51616721521107
2021-05-01,115.01778929340965
2021-06-01,110.82650167401931
2021-07-01,112.74263755705573
2021-08-01,111.29147946232416
2021-09-01,109.6919300888551
2021-10-01,113.26271730238625
2021-11-01,111.40988693143186
2021-12-01,115.54666995134463
2022-01-01,113.75708868847713
2022-02-01,118.50255664321112
2022-03-01,115.22125064476796
2022-04-01,109.97865630218804
2022-05-01,112.91590362317382
2022-06-01,113.27763896106342
2022-07-01,112.65412870426036
2022-08-01,111.025080096767
2022-09-01,111.78575712660525
2022-10-01,113.41950823825113
2022-11-01,113.29132486445428
2022-12-01,117.53057329647486
