date,cds_spread
2008-01-01,20.0
2008-02-01,20.401873864247808
2008-03-01,21.96263177702637
2008-04-01,20.203913011457693
2008-05-01,19.44690283495703
2008-06-01,13.373673184816179
2008-07-01,5.0
2008-08-01,5.0
2008-09-01,85.0
2008-10-01,85.0
2008-11-01,87.65539293622798
2008-12-01,88.18027378916989
2009-01-01,90.06738622812895
2009-02-01,85.0
2009-03-01,87.97117569384754
2009-04-01,85.0
2009-05-01,85.0
2009-06-01,85.0
2009-07-01,5.0
2009-08-01,5.0
2009-09-01,5.0
2009-10-01,5.0
2009-11-01,5.0
2009-12-01,5.0
2010-01-01,5.0
2010-02-01,5.0
2010-03-01,5.0
2010-04-01,5.0
2010-05-01,5.0
2010-06-01,5.0
2010-07-01,5.0
2010-08-01,5.0
2010-09-01,5.0
2010-10-01,5.0
2010-11-01,5.0
2010-12-01,5.0
2011-01-01,5.0
2011-02-01,5.0
2011-03-01,5.0
2011-04-01,5.0
2011-05-01,5.0
2011-06-01,125.0
2011-07-01,125.54958339780327
2011-08-01,125.0
2011-09-01,125.0
2011-10-01,125.0
2011-11-01,125.0
2011-12-01,125.0
2012-01-01,125.0
2012-02-01,125.0
2012-03-01,125.0
2012-04-01,125.0
2012-05-01,125.0
2012-06-01,125.0
2012-07-01,5.0
2012-08-01,5.0
2012-09-01,5.0
2012-10-01,5.0
2012-11-01,5.0
2012-12-01,5.0
2013-01-01,5.0
2013-02-01,5.0
2013-03-01,5.0
2013-04-01,5.0
2013-05-01,5.0
2013-06-01,5.9319251368178705
2013-07-01,7.401432774834256
2013-08-01,9.880351839779689
2013-09-01,9.289048088704625
2013-10-01,6.491871767371903
2013-11-01,8.697140626777944
2013-12-01,16.694408395326654
2014-01-01,20.314480158621965
2014-02-01,19.413122356423813
2014-03-01,25.622698985598852
2014-04-01,30.34562267308388
2014-05-01,36.418794804293476
2014-06-01,26.82917331854165
2014-07-01,28.021245525623733
2014-08-01,37.157648169406954
2014-09-01,45.678811544216146
2014-10-01,44.953094695377
2014-11-01,41.601621898054304
2014-12-01,37.17823014354082
2015-01-01,36.72332714415758
2015-02-01,36.11560996830718
2015-03-01,38.10575264107562
2015-04-01,36.903499522400715
2015-05-01,33.41414797361443
2015-06-01,32.08948275574156
2015-07-01,30.985352702544482
2015-08-01,28.427693131413204
2015-09-01,21.277039438138
2015-10-01,20.492504393725103
2015-11-01,17.91203483901152
2015-12-01,16.494515218510784
2016-01-01,11.708222143446406
2016-02-01,15.13133142970418
2016-03-01,17.391934183836675
2016-04-01,5.696624622269178
2016-05-01,11.17273151618333
2016-06-01,12.163588235934771
2016-07-01,14.789001487853879
2016-08-01,18.186366690105
2016-09-01,22.155766647926857
2016-10-01,16.41025686768227
2016-11-01,24.350067488865268
2016-12-01,21.01439398395708
2017-01-01,19.62580849749864
2017-02-01,23.821735848677093
2017-03-01,15.552925302353003
2017-04-01,23.025050371647417
2017-05-01,20.0676004540561
2017-06-01,17.754793399279006
2017-07-01,30.31838031910855
2017-08-01,22.39878081439559
2017-09-01,13.57583430799372
2017-10-01,15.909283282470852
2017-11-01,11.171801732253986
2017-12-01,6.890280688868674
2018-01-01,6.508889857004702
2018-02-01,8.662765068280706
2018-03-01,8.046034409026772
2018-04-01,11.437184604905525
2018-05-01,5.044005167704525
2018-06-01,12.566872929836947
2018-07-01,5.0
2018-08-01,5.336408719607228
2018-09-01,14.803349406800354
2018-10-01,12.568228108755214
2018-11-01,17.929531720934012
2018-12-01,12.950321221448387
2019-01-01,6.572192436959801
2019-02-01,5.0
2019-03-01,5.0
2019-04-01,5.3139600098828215
2019-05-01,7.593025197040513
2019-06-01,11.690692061951387
2019-07-01,27.153213255424014
2019-08-01,28.372253135481504
2019-09-01,27.020471729583072
2019-10-01,28.261882823874164
2019-11-01,33.21960781193027
2019-12-01,33.2488505929917
2020-01-01,34.791780308258254
2020-02-01,33.270264815861374
2020-03-01,72.74409527407224
2020-04-01,80.02584765395169
2020-05-01,77.3962800211929
2020-06-01,38.745803364388706
2020-07-01,37.70848010168467
2020-08-01,38.5046729161141
2020-09-01,33.81170702935293
2020-10-01,34.6882046838413
2020-11-01,34.43296831645029
2020-12-01,38.94763496456669
2021-01-01,37.241837486487825
2021-02-01,42.23544026152209
2021-03-01,49.01262560312335
2021-04-01,50.47404534808674
2021-05-01,50.620923251649565
2021-06-01,51.39231087272959
2021-07-01,55.081590376752395
2021-08-01,53.896631062187325
2021-09-01,59.3255658665397
2021-10-01,64.00920100604908
2021-11-01,63.74915561206969
2021-12-01,60.83072385753301
2022-01-01,66.54009109799948
2022-02-01,60.89682259326704
2022-03-01,57.152990688283815
2022-04-01,50.725219209748666
2022-05-01,47.54511768432412
2022-06-01,52.68981836018226
2022-07-01,54.750054170925
2022-08-01,55.08312247752225
2022-09-01,56.80634982992061
2022-10-01,62.59606244358741
2022-11-01,59.60554070765358
2022-12-01,61.189356813307974
